NAME,STATE,ANNUAL
Meruoca,CEARÁ,5607
Massapê,CEARÁ,5514
Santana do Acaraú,CEARÁ,5506
Itapipoca,CEARÁ,5561
Senador Sá,CEARÁ,5571
Amontada,CEARÁ,5580
Paraipaba,CEARÁ,5684
Paracuru,CEARÁ,5693
Uruoca,CEARÁ,5552
Trairi,CEARÁ,5594
Martinópole,CEARÁ,5531
Morrinhos,CEARÁ,5499
Granja,CEARÁ,5455
Marco,CEARÁ,5525
Chaval,CEARÁ,5570
Barroquinha,CEARÁ,5604
Bela Cruz,CEARÁ,5566
Camocim,CEARÁ,5529
Jijoca de Jericoacoara,CEARÁ,5456
Cruz,CEARÁ,5577
Acaraú,CEARÁ,5577
Itarema,CEARÁ,5630
Brasília,DISTRITO FEDERAL,5252
Apiacá,ESPÍRITO SANTO,4909
Bom Jesus do Norte,ESPÍRITO SANTO,4870
Mimoso do Sul,ESPÍRITO SANTO,4834
Presidente Kennedy,ESPÍRITO SANTO,4952
São José do Calçado,ESPÍRITO SANTO,4794
Muqui,ESPÍRITO SANTO,4792
Itapemirim,ESPÍRITO SANTO,5021
Marataízes,ESPÍRITO SANTO,5021
Atilio Vivacqua,ESPÍRITO SANTO,4947
Rio Novo do Sul,ESPÍRITO SANTO,4868
Guaçuí,ESPÍRITO SANTO,4800
Alegre,ESPÍRITO SANTO,4893
Jerônimo Monteiro,ESPÍRITO SANTO,4950
